NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 167 IPTER     0.00  6 2025  9 2025  
 167 IPTER    19.35 10 2025 10 2025  
 167 IPTER     0.00 11 2025 12 2025  
 167 FCMAX    74.16  7 2027  7 2027  
 167 FCMAX     0.00  8 2027          
 163 POTEF   365.00 11 2024          P. PECEM II
 163 FCMAX   100.00 11 2024  8 2028  
 163 TEIFT     0.00 11 2024 11 2024  
 163 FCMAX     6.67  9 2028  9 2028  
 163 FCMAX     0.00 10 2028          
 224 POTEF  1593.20 11 2024          P. SERGIPE I
 224 FCMAX    99.99 11 2024  1 2025  
 224 TEIFT     0.00 11 2024  1 2025  
 224 IPTER     0.00  1 2025  2 2025  
 224 FCMAX   100.00  2 2025          
 162 POTEF   144.45 11 2024          PECEM II
 162 TEIFT     0.00 11 2024 11 2024  
  98 POTEF   200.79 11 2024          PERNAMBU_III
  98 TEIFT     0.00 11 2024 11 2024  
  98 FCMAX    99.98 12 2024 11 2028  
  98 FCMAX    93.53 12 2028          
 144 POTEF   136.20 11 2024          PETROLINA
 144 FCMAX     0.00 11 2024          
 151 POTEF    53.12 11 2024          POTIGUAR
 151 FCMAX     0.00 11 2024          
 161 POTEF    66.40 11 2024          POTIGUAR III
 161 FCMAX     0.00 11 2024          
 223 POTEF    55.99 11 2024          PROSPERI III
 223 TEIFT     0.00 11 2024 11 2024  
 241 POTEF    37.44 11 2024          PROSPERID II
 241 FCMAX    96.15 11 2024 11 2024  
 241 TEIFT     0.00 11 2024 11 2024  
 241 FCMAX   100.00 12 2024          
 147 POTEF    28.02 11 2024          PROSPERIDADE
 147 FCMAX    99.92 11 2024 11 2024  
 147 TEIFT     0.00 11 2024 11 2024  
 147 FCMAX   100.00 12 2024          
 170 POTEF   381.26 11 2024          SUAPE II
 170 TEIFT     0.00 11 2024 11 2024  
 170 IPTER     0.38  1 2025  1 2025  
 170 IPTER     0.42  2 2025  2 2025  
 170 IPTER     1.90  3 2025  3 2025  
 170 IPTER     0.39  4 2025  4 2025  
 170 IPTER     0.95  5 2025  5 2025  
 170 IPTER     2.55  6 2025  6 2025  
 170 IPTER     0.00  7 2025  7 2025  
 170 IPTER     0.38  8 2025  8 2025  
 170 IPTER     1.96  9 2025  9 2025  
 170 IPTER     1.14 10 2025 10 2025  
 170 IPTER     1.18 11 2025 11 2025  
 170 IPTER     1.14 12 2025 12 2025  
 170 FCMAX     0.00  1 2027          
  43 POTEF   185.90 11 2024          TERMOBAHIA
  43 FCMAX     0.00 11 2024 11 2024  
  43 FCMAX    85.50 12 2024  8 2025  
  43 FCMAX    74.10  9 2025  9 2025  
  43 FCMAX     0.00 10 2025          
 152 POTEF    49.73 11 2024          TERMOCABO
 152 FCMAX    99.95 11 2024 11 2024  
 152 TEIFT     0.00 11 2024 11 2024  
 152 FCMAX    99.99 12 2024 12 2024  
 152 FCMAX     0.00  1 2025          
  58 POTEF   223.00 11 2024          TERMOCEARA
  58 FCMAX     0.00 11 2024          
  67 POTEF   170.85 11 2024          TERMONE
  67 FCMAX    94.82 11 2024 11 2024  
  67 TEIFT     0.00 11 2024 11 2024  
  67 FCMAX    94.99 12 2024 12 2024  
  67 FCMAX     0.00  1 2025          
  69 POTEF   170.85 11 2024          TERMOPB
  69 FCMAX    94.82 11 2024 11 2024  
  69 TEIFT     0.00 11 2024 11 2024  
  69 FCMAX    95.00 12 2024 12 2024  
  69 FCMAX     0.00  1 2025          
  96 POTEF   550.00 11 2024          TERMOPE
  96 IPTER     0.00  1 2025  3 2025  
  96 IPTER    50.00  4 2025  4 2025  
  96 IPTER     0.00  5 2025 12 2025  
  83 POTEF   110.00 11 2024          VALE DO ACU
  83 FCMAX   100.00 11 2024          
  83 TEIFT     0.00 11 2024 11 2024  
 201 POTEF   166.00 11 2024          APARECIDA
 201 FCMAX   100.00 11 2024          
 201 TEIFT     0.00 11 2024 11 2024  
 201 GTMIN    75.00 11 2024 11 2024  
 201 GTMIN   127.50 12 2024          
 260 POTEF   295.43  9 2026          AZULAO
 262 POTEF   295.43  1 2027          AZULAO II
 262 GTMIN    97.21  1 2027  2 2027  
 262 GTMIN    89.60  3 2027  3 2027  
